	positive	neutral	negative	total	positive_list	neutral_list	negative_list
0718000315	41	10	5	56	[9001, 7061, 9088, 7086, 8095, 9103, 7156, 1179, 9187, 4213, 1217, 1220, 8229, 224, 5259, 6278, 5279, 5287, 5299, 9336, 4342, 2368, 7411, 438, 1547, 3574, 7565, 6683, 5670, 4679, 3662, 694, 8703, 9766, 4775, 9778, 3773, 5896, 5915, 5926, 6987]	[8030, 5067, 2093, 5478, 1482, 9542, 7567, 4669, 3793, 3840]	[5113, 8182, 1190, 5702, 970]
0764001027	7	2	4	13	[7001, 2256, 9595, 2589, 2621, 6742, 7857]	[2359, 2393]	[362, 5600, 7735, 7952]
0767020553	33	3	5	41	[2001, 9012, 4039, 2109, 8139, 158, 1224, 253, 256, 1279, 5300, 7292, 2375, 4457, 6538, 3506, 6591, 3552, 4585, 4639, 5645, 9680, 7637, 2702, 689, 5782, 7758, 787, 4907, 6932, 6942, 6958, 8981]	[9084, 1317, 5592]	[2031, 3246, 8397, 5490, 7873]
0764006584	21	11	6	38	[5010, 16, 31, 4066, 6125, 6127, 4121, 1191, 5307, 1419, 9456, 5462, 450, 2475, 2611, 1599, 4647, 1654, 9728, 4817, 2942]	[1059, 5074, 73, 1257, 5290, 3285, 3437, 2489, 3593, 9628, 5691]	[3001, 8118, 5152, 864, 3914, 6978]
0767821599	1	1	4	6	[653]	[7324]	[1, 9046, 6260, 6981]
0767821513	0	0	6	6	[]	[]	[8001, 1250, 7514, 667, 8699, 3852]
0767819438	3	7	25	35	[1212, 7586, 1672]	[7042, 294, 470, 4640, 2712, 5765, 9963]	[5002, 7015, 7019, 2086, 3102, 8108, 1111, 9139, 9174, 2211, 6296, 4330, 345, 3410, 1455, 5508, 4516, 7551, 3571, 1596, 7635, 2684, 9842, 2869, 2913]
0767026128	26	3	3	32	[7002, 8119, 228, 5245, 255, 1285, 7270, 5301, 3302, 7305, 8342, 333, 5353, 2351, 1369, 4395, 9437, 1491, 4567, 2569, 2610, 3616, 6722, 6802, 3816, 7966]	[39, 3404, 3721]	[9227, 7274, 1323]
0767028627	5	5	2	12	[1009, 5101, 5291, 5525, 2545]	[5238, 586, 9748, 7761, 9837]	[3002, 9931]
0767803434	0	3	17	20	[]	[7064, 2195, 8837]	[6001, 1078, 8131, 225, 6262, 7258, 6374, 7383, 8450, 498, 8589, 728, 8832, 873, 4939, 2991, 7990]
078062369X	3	8	12	23	[9002, 422, 1650]	[2069, 2232, 8248, 9332, 3512, 9743, 3856, 9929]	[5072, 7106, 9122, 8328, 1450, 3459, 5543, 9677, 6756, 1713, 4779, 2903]
076400459X	21	5	1	27	[1001, 7031, 6172, 236, 9260, 4268, 2303, 5411, 4439, 5501, 4520, 2576, 3612, 2627, 6692, 2732, 709, 9836, 794, 2886, 8890]	[2244, 8423, 8803, 7796, 8967]	[1292]
0782008380	3	5	48	56	[4469, 7649, 5715]	[9101, 8314, 8454, 8459, 7447]	[2, 2036, 9070, 8089, 6158, 2171, 6229, 198, 3230, 5252, 8277, 1299, 5386, 2389, 7404, 9463, 7442, 9514, 6534, 5533, 8544, 8549, 7543, 1617, 7600, 3693, 8692, 3723, 4772, 9779, 7736, 6808, 4795, 760, 6823, 2810, 3830, 2856, 6894, 5888, 6909, 5907, 1902, 4967, 2957, 930, 1969, 8966]
0780023110	1	2	6	9	[2253]	[2002, 811]	[4227, 7268, 8467, 9730, 4910, 2968]
076400557X	39	2	1	42	[8002, 9007, 6027, 6086, 81, 83, 1092, 7110, 6142, 5143, 6187, 8180, 1188, 7175, 3217, 4286, 7272, 2292, 6332, 6390, 3428, 5492, 522, 5611, 9620, 610, 1618, 9654, 627, 672, 9772, 1792, 7826, 5921, 1894, 8893, 1927, 4989, 1994]	[7119, 8279]	[6244]
0764005707	36	12	24	72	[8021, 9071, 4076, 5118, 120, 7132, 8164, 2207, 8214, 233, 7259, 2298, 9317, 7308, 8333, 9341, 1338, 6394, 1388, 3425, 4478, 8478, 482, 2507, 6576, 7525, 7540, 4586, 4594, 1605, 4675, 2752, 809, 5894, 3901, 1929]	[7052, 2170, 1182, 5414, 9499, 1548, 557, 7660, 5855, 7853, 3886, 3955]	[9003, 5066, 7089, 3135, 8206, 9212, 2223, 4233, 299, 8351, 6387, 5403, 423, 2503, 6672, 1690, 710, 8760, 8869, 3894, 9926, 1955, 8974, 989]
0764004425	14	2	7	23	[3003, 3028, 296, 568, 2677, 1662, 4747, 4808, 1862, 1877, 4923, 1907, 8906, 1932]	[7066, 8410]	[8050, 7136, 2269, 9368, 510, 3866, 8918]
0767726227	136	19	7	162	[3, 2011, 1019, 7023, 1029, 9032, 5029, 5031, 5036, 7044, 9048, 8060, 8063, 6078, 77, 1100, 2123, 4134, 3140, 9148, 4154, 6181, 6190, 4171, 3181, 5220, 6253, 7224, 1247, 9248, 5265, 6297, 2289, 7273, 5297, 4301, 5311, 3296, 3299, 316, 2337, 4335, 3356, 354, 3371, 1391, 6417, 387, 8408, 3401, 5424, 9426, 3413, 6465, 448, 456, 8471, 4483, 9491, 4509, 6525, 495, 1501, 6531, 506, 9528, 4533, 8546, 542, 1545, 1553, 5583, 570, 1573, 6615, 578, 4618, 7597, 5653, 9655, 4660, 640, 5682, 5687, 8657, 7640, 7644, 4698, 6717, 3677, 6725, 2709, 5751, 3729, 7715, 8733, 9773, 8774, 2796, 1780, 773, 4820, 6840, 8793, 8797, 5838, 2817, 6854, 4837, 1806, 3821, 1816, 2840, 9861, 5870, 5875, 1839, 1847, 7840, 2881, 2883, 6923, 8871, 5914, 6935, 3899, 3920, 5958, 9985, 4984, 9988, 7934, 7965, 975, 7980, 7981]	[5041, 1107, 1117, 7128, 7252, 295, 6346, 4326, 8336, 6410, 584, 5615, 7588, 4655, 8723, 7757, 8791, 3844, 5965]	[9130, 8157, 6178, 4173, 1516, 761, 6828]
0767834739	6	10	41	57	[2157, 1376, 6423, 4443, 5675, 8944]	[9085, 1245, 8437, 4522, 8679, 7673, 1693, 7696, 8809, 2865]	[5003, 2019, 2023, 9050, 4055, 6064, 3116, 126, 131, 9157, 5177, 1173, 8187, 2203, 2210, 6272, 6318, 4339, 2348, 3362, 363, 1421, 5507, 1493, 5515, 7489, 7541, 4634, 1626, 2661, 9699, 5706, 704, 1746, 9791, 5817, 6876, 8868, 6954, 7917, 3976]
0767802470	188	65	35	288	[4002, 1003, 17, 1026, 7025, 4025, 3033, 2034, 7037, 9039, 6041, 3050, 5051, 2049, 1055, 1062, 5060, 6069, 1077, 8086, 6089, 9095, 1101, 7094, 6118, 2113, 8115, 8122, 4131, 6143, 8134, 6146, 2154, 5159, 6179, 4182, 184, 1207, 3197, 1219, 7204, 6246, 5235, 5240, 7226, 9261, 1265, 6288, 258, 5276, 3264, 8281, 9291, 5295, 2297, 8300, 1307, 1311, 6338, 9325, 6345, 9339, 326, 8364, 9362, 1361, 2367, 8376, 8381, 4376, 2377, 8390, 9392, 1396, 6420, 395, 2441, 7424, 1439, 3430, 9450, 5452, 1444, 6464, 6468, 8456, 9465, 445, 6480, 2463, 4480, 2487, 6508, 4499, 485, 7475, 490, 5518, 1506, 7491, 5536, 1518, 5542, 1526, 3529, 7516, 3531, 8550, 6586, 8570, 5601, 9606, 7564, 9617, 7591, 7592, 2632, 9653, 1625, 1628, 6673, 7622, 3645, 8648, 4677, 5692, 3663, 6710, 661, 9710, 9723, 4720, 3699, 7682, 1703, 4736, 705, 6760, 8714, 5760, 1725, 3744, 6787, 7727, 3763, 9796, 3765, 751, 8767, 775, 3809, 7788, 6865, 8813, 5851, 807, 2843, 4870, 2860, 5887, 2868, 844, 2872, 3864, 1867, 7839, 2885, 2895, 3887, 5924, 8891, 6957, 5947, 8910, 7888, 906, 2939, 8925, 917, 1945, 5982, 4983, 5987, 4994, 3989, 1984, 8996, 984]	[3031, 2041, 6077, 4091, 8099, 4137, 5147, 3142, 4151, 4187, 6227, 199, 8224, 4225, 1238, 8263, 8286, 8292, 290, 5313, 3320, 330, 8385, 1378, 2388, 9402, 3390, 5444, 6460, 1445, 8451, 9459, 7440, 1460, 9486, 4489, 1479, 5516, 7502, 8535, 3539, 7529, 5593, 2587, 6617, 9624, 1619, 620, 2673, 7669, 4734, 5738, 9784, 736, 8764, 7767, 784, 791, 2857, 1870, 5937, 2945, 1938, 8986, 2996]	[5013, 8035, 2032, 9058, 95, 7124, 2140, 7142, 8195, 4192, 3213, 6261, 3298, 9328, 1344, 7385, 398, 6434, 4464, 3475, 2495, 5513, 4653, 5672, 6734, 6751, 8846, 2866, 861, 4937, 892, 899, 9965, 1940, 7962]
0780627415	2	1	10	13	[7029, 8529]	[3198]	[6002, 6025, 9135, 8222, 8407, 462, 4496, 1584, 7804, 8870]
0307593908	11	0	1	12	[1002, 2082, 9271, 293, 2366, 2429, 5524, 8577, 1593, 3753, 872]	[]	[5028]
0767813871	2	1	4	7	[9004, 9895]	[5436]	[6487, 6665, 1895, 955]
0739046500	6	0	2	8	[7003, 5056, 9117, 1511, 5850, 5970]	[]	[6105, 9181]
0767002652	253	28	39	320	[8003, 8016, 3021, 2024, 9027, 27, 1034, 1035, 2039, 6047, 5054, 6065, 60, 8069, 6076, 9073, 8082, 5086, 4087, 1090, 4096, 6108, 6109, 4100, 6110, 2106, 101, 2107, 6115, 2112, 2114, 3108, 9112, 6123, 6126, 3118, 118, 6145, 2139, 8140, 8145, 8147, 7134, 8151, 3145, 6174, 7148, 2169, 3163, 164, 2181, 5194, 9194, 8200, 2202, 3196, 1210, 9214, 5219, 1222, 4222, 1225, 1226, 8240, 6266, 5251, 2251, 9253, 3241, 9264, 2262, 3252, 8268, 8270, 4270, 263, 2281, 3275, 4290, 2294, 7281, 8306, 6321, 8311, 6331, 4312, 3303, 3304, 1318, 9323, 2324, 3319, 6349, 8346, 2345, 8348, 1351, 4361, 5370, 1370, 5387, 7365, 2384, 9389, 1381, 6411, 2396, 6415, 392, 9411, 8416, 2416, 3407, 2424, 7409, 1422, 8429, 4431, 5435, 6449, 5442, 3423, 1437, 4445, 9446, 8448, 6466, 442, 446, 5473, 5474, 4475, 6491, 4486, 3467, 4497, 487, 9510, 492, 1503, 9517, 3497, 9521, 8519, 5532, 6544, 8521, 6549, 5547, 2534, 9543, 5551, 2542, 6571, 8556, 2561, 1557, 2571, 567, 4595, 4600, 3577, 9605, 3582, 2596, 2604, 592, 603, 4637, 4638, 5643, 4641, 1620, 622, 9660, 5659, 2646, 1635, 9684, 650, 9697, 1668, 3673, 3679, 4705, 5713, 9715, 2701, 8688, 7671, 5726, 684, 9727, 1697, 4733, 6750, 4749, 7706, 7710, 7713, 5772, 8742, 3755, 7731, 6809, 4797, 5801, 2797, 8782, 5825, 8787, 8788, 6852, 9841, 795, 1803, 1808, 2836, 9862, 6883, 825, 7813, 6893, 6895, 9883, 7828, 4890, 6912, 3868, 852, 8865, 9919, 1891, 3898, 880, 9934, 7874, 9942, 3911, 3912, 8907, 1914, 8912, 7893, 8923, 8929, 6995, 7907, 2961, 7932, 7954, 8991, 981]	[8012, 9055, 6133, 2141, 6184, 5191, 8269, 3284, 3306, 8329, 4345, 6388, 2373, 6412, 6458, 8499, 493, 2518, 7505, 543, 7531, 7532, 7584, 2647, 652, 679, 9759, 4858]	[8042, 5047, 9047, 9082, 1113, 133, 8165, 6198, 5275, 3259, 8304, 3310, 327, 8374, 2371, 7358, 382, 3405, 1426, 3429, 8477, 9501, 3526, 3533, 9565, 5635, 5665, 3650, 662, 9714, 3698, 4796, 3780, 3863, 9897, 6952, 2923, 3942, 1974]
0783211694	0	1	1	2	[]	[9114]	[4003]
0780630866	1	0	2	3	[8827]	[]	[6003, 1255]
0780656946	3	4	31	38	[5678, 5977, 936]	[2022, 2318, 720, 4963]	[9005, 2037, 64, 4071, 5090, 6097, 9104, 6159, 9150, 5165, 9185, 1272, 269, 5322, 7311, 9348, 5380, 7394, 434, 2454, 4507, 6559, 1543, 8564, 5641, 8708, 3831, 7832, 2934, 2950, 8941]
0764005316	28	2	3	33	[7005, 4077, 6215, 4210, 6237, 2227, 3214, 2296, 2306, 9354, 4365, 8447, 2464, 8507, 521, 9602, 5610, 4627, 3711, 6761, 6807, 1783, 3811, 834, 7844, 5941, 5978, 5999]	[5721, 7827]	[9631, 3768, 3778]
0780621832	1	1	3	5	[6197]	[4]	[6431, 8592, 4966]
0783223218	2	7	16	25	[6406, 1794]	[2094, 7349, 403, 6509, 744, 3771, 2827]	[2003, 4028, 1171, 9230, 6257, 6308, 2335, 7607, 8640, 721, 8746, 3779, 8876, 7908, 9976, 950]
0767019954	29	8	4	41	[6004, 2017, 2021, 3110, 3203, 6264, 1261, 1335, 1340, 9397, 2421, 4492, 3481, 6530, 512, 3573, 8600, 1594, 5649, 7604, 6670, 3653, 4688, 671, 9720, 8789, 2839, 9865, 9933]	[3016, 3206, 9313, 9346, 7384, 453, 6804, 7991]	[6245, 4561, 3600, 2828]
0780628535	2	2	13	17	[8041, 1180]	[4172, 1788]	[5004, 7125, 8257, 1266, 9270, 1267, 2301, 4304, 1696, 7725, 1892, 6976, 2993]
076784744X	1	3	18	22	[7566]	[9161, 6444, 4463]	[4004, 2052, 2071, 6100, 4241, 1268, 5305, 312, 2501, 9529, 2570, 8618, 5651, 4778, 1765, 7779, 6872, 8879]
0767087372	78	14	15	107	[1004, 4018, 41, 4069, 3100, 117, 5136, 9149, 1157, 9160, 5183, 1185, 4204, 4212, 8238, 6274, 5263, 4261, 8275, 4307, 7295, 6334, 8331, 4328, 5343, 2347, 9356, 9358, 1358, 6397, 5397, 9399, 8457, 5466, 5481, 6494, 2476, 9484, 2482, 3474, 9498, 1489, 6524, 520, 2581, 7547, 7555, 8590, 6637, 6642, 3615, 4642, 6666, 637, 5673, 4693, 659, 1670, 2707, 8698, 4756, 8722, 726, 2757, 3759, 5806, 8773, 2814, 1869, 7843, 8883, 1896, 9940, 3930, 2944, 3978, 969, 7964]	[9035, 2076, 7138, 1246, 8317, 350, 8439, 2547, 6573, 2555, 6598, 9640, 5803, 9918]	[1071, 88, 8156, 8202, 2260, 4359, 5483, 6582, 9612, 5671, 1771, 1918, 1923, 7933, 2979]
0767025075	3	3	2	8	[9006, 9024, 2385]	[6651, 8693, 8877]	[212, 1475]
0307142469	35	4	1	40	[2004, 2027, 2045, 6070, 3173, 2194, 1200, 6236, 3222, 4239, 7240, 4319, 1320, 4329, 3327, 3334, 2411, 3418, 5499, 5537, 3517, 4545, 5595, 8594, 4727, 698, 8744, 6825, 782, 3847, 9906, 5912, 9956, 4965, 923]	[7, 6015, 2245, 988]	[5966]
